ID_ID,day,month,year,TotalCase,DeathCount,CountriesAndTerritories,GeoId,countryterritoryCode,popData2018,cONTINENT
381,26,5,2020,0,0,Andorra,AD,AND,77006,Europe
382,25,5,2020,1,0,Andorra,AD,AND,77006,Europe
383,24,5,2020,0,0,Andorra,AD,AND,77006,Europe
384,23,5,2020,0,0,Andorra,AD,AND,77006,Europe
385,22,5,2020,0,0,Andorra,AD,AND,77006,Europe
386,21,5,2020,1,0,Andorra,AD,AND,77006,Europe
387,20,5,2020,0,0,Andorra,AD,AND,77006,Europe
388,19,5,2020,0,0,Andorra,AD,AND,77006,Europe
389,18,5,2020,0,0,Andorra,AD,AND,77006,Europe
390,17,5,2020,0,2,Andorra,AD,AND,77006,Europe
391,16,5,2020,0,0,Andorra,AD,AND,77006,Europe
392,15,5,2020,1,0,Andorra,AD,AND,77006,Europe
393,14,5,2020,2,1,Andorra,AD,AND,77006,Europe
394,13,5,2020,2,0,Andorra,AD,AND,77006,Europe
395,12,5,2020,1,0,Andorra,AD,AND,77006,Europe
396,11,5,2020,1,0,Andorra,AD,AND,77006,Europe
397,10,5,2020,2,1,Andorra,AD,AND,77006,Europe
398,9,5,2020,0,0,Andorra,AD,AND,77006,Europe
399,8,5,2020,1,1,Andorra,AD,AND,77006,Europe
400,7,5,2020,0,0,Andorra,AD,AND,77006,Europe
401,6,5,2020,1,1,Andorra,AD,AND,77006,Europe
402,5,5,2020,2,0,Andorra,AD,AND,77006,Europe
403,4,5,2020,1,1,Andorra,AD,AND,77006,Europe
404,3,5,2020,1,1,Andorra,AD,AND,77006,Europe
405,2,5,2020,1,1,Andorra,AD,AND,77006,Europe
406,1,5,2020,2,0,Andorra,AD,AND,77006,Europe
